t,f1,precision,recall,accuracy,auc,dp_diff_max,eod_diff_max,dp_abs
0.05,0.5958165519033389,0.4278783355103564,0.9807527801539777,0.6815436585116184,0.9315911403446064,0.3709332267303282,0.09317812385297053,0.3709332267303282
0.06,0.6100923571141748,0.44398986947204366,0.974764756201882,0.7018118538233187,0.9315911403446064,0.3763927832768412,0.08798699596245618,0.3763927832768412
0.07,0.6233694905945352,0.4590495449949444,0.9709153122326775,0.7192138396970007,0.9315911403446064,0.3735072294854903,0.08421163022390021,0.3735072294854903
0.08,0.6359797297297297,0.4739823751573647,0.9662104362703166,0.73528508547446,0.9315911403446064,0.3752191179727411,0.1920192963137748,0.3752191179727411
0.09,0.644836995547896,0.4854054054054054,0.9602224123182207,0.7468522878493192,0.9315911403446064,0.37271117905175877,0.18588432698862145,0.37271117905175877
0.1,0.6528042173085371,0.49632598530394123,0.9533789563729683,0.7572934793735285,0.9315911403446064,0.3699083927344797,0.1797493576634681,0.3699083927344797
0.11,0.6595110316040549,0.5061784897025171,0.9461077844311377,0.7661992015559422,0.9315911403446064,0.36957014402666577,0.17314246762099517,0.36957014402666577
0.12,0.6650522173452399,0.514640431014289,0.9396920444824637,0.7734670897737742,0.9315911403446064,0.36131756059292297,0.16747941901316132,0.36131756059292297
0.13,0.6693288281369989,0.5221663072130361,0.9319931565440548,0.7796089671409561,0.9315911403446064,0.3556700411772876,0.160400608253369,0.3556700411772876
0.14,0.6748791517230626,0.531042944785276,0.9255774165953806,0.7865697614904289,0.9315911403446064,0.35200570363613837,0.15568140108017403,0.35200570363613837
0.15,0.6814861860908225,0.5419191919191919,0.9178785286569717,0.7946565666905517,0.9315911403446064,0.3461762740748248,0.1471868281684232,0.3461762740748248
0.16,0.6861196195389327,0.5505821474773609,0.9101796407185628,0.8006960794349472,0.9315911403446064,0.34389162903655657,0.142330826963726,0.34389162903655657
0.17,0.6912773603397583,0.5591966173361522,0.9050470487596236,0.8065308629337701,0.9315911403446064,0.3401005596657771,0.1394746992149105,0.3401005596657771
0.18,0.6942148760330579,0.5657327586206896,0.8982035928143712,0.8106254478452247,0.9315911403446064,0.3372400144139275,0.14428560171533555,0.3372400144139275
0.19,0.696554031448645,0.5719780219780219,0.8905047048759623,0.8143105742655339,0.9315911403446064,0.3334627396221599,0.17126431850358226,0.3334627396221599
0.2,0.7002032520325203,0.5796410544026921,0.8840889649272883,0.8188146176681339,0.9315911403446064,0.3298351876250427,0.16512934917842892,0.3298351876250427
0.21,0.7056804530633259,0.589280596159358,0.8793840889649273,0.8244446719213839,0.9315911403446064,0.3225361192752497,0.16041014200523396,0.3225361192752497
0.22,0.7087816730301979,0.5963785046728972,0.8733960650128315,0.8282321629644794,0.9315911403446064,0.3193807266271035,0.15380325196276112,0.3193807266271035
0.23,0.711882229232387,0.6030285035629454,0.8686911890504705,0.8317125601392159,0.9315911403446064,0.31440566947813325,0.14908404478956627,0.31440566947813325
0.24,0.7149449769258076,0.6110436893203883,0.8614200171086399,0.8356024158050978,0.9315911403446064,0.30971166514644777,0.23338624565618427,0.30971166514644777
0.25,0.7168523176428315,0.6180297397769516,0.8532934131736527,0.8386733544886887,0.9315911403446064,0.30425985045550263,0.22489167274443345,0.30425985045550263
0.26,0.72188919164396,0.6274076413009156,0.8498716852010265,0.8432797625140751,0.9315911403446064,0.29851318836826085,0.22253206915783608,0.29851318836826085
0.27,0.7240999265246143,0.6345782356728912,0.8430282292557741,0.8462483365748797,0.9315911403446064,0.29368325582093696,0.21639709983268263,0.29368325582093696
0.28,0.726427375860145,0.6426456071076012,0.8353293413173652,0.8494216398812571,0.9315911403446064,0.28655230303781026,0.2088463683555708,0.28655230303781026
0.29,0.7282670186686782,0.651264755480607,0.8259195893926433,0.852492578564848,0.9315911403446064,0.27650764426126745,0.1989360332918615,0.27650764426126745
0.3,0.7270650932622763,0.6550068587105624,0.8169375534644996,0.8532091309243526,0.9315911403446064,0.2712377397160006,0.19696969696969702,0.2712377397160006
0.31,0.7281123725226092,0.6617698495977614,0.8092386655260907,0.8553587880028662,0.9315911403446064,0.26702509111929407,0.19696969696969702,0.26702509111929407
0.32,0.7288333983612953,0.6700143472022956,0.7989734816082121,0.8577131743269526,0.9315911403446064,0.26111031346538593,0.19696969696969702,0.26111031346538593
0.33,0.7323721113964053,0.6803669724770642,0.7929854576561164,0.8612959361244754,0.9315911403446064,0.25413827986291754,0.18414918414918413,0.25413827986291754
0.34,0.7305389221556886,0.6848802395209581,0.7827202737382378,0.8618077592384072,0.9315911403446064,0.24870945613699236,0.15850815850815847,0.24870945613699236
0.35,0.7329694764503739,0.6949022614028363,0.7754491017964071,0.8647763332992118,0.9315911403446064,0.2435708816143599,0.1667726213180758,0.2435708816143599
0.36,0.7316079070715304,0.6987154534838459,0.7677502138579982,0.8651857917903573,0.9315911403446064,0.23923150118802292,0.1704810341173978,0.23923150118802292
0.37,0.7299691040164779,0.7040127135478744,0.757912745936698,0.8657999795270754,0.9315911403446064,0.23349863367979307,0.15766052129688501,0.23349863367979307
0.38,0.7306012065737466,0.7112191170514378,0.7510692899914457,0.8674378134916573,0.9315911403446064,0.22838305012218052,0.15766052129688501,0.22838305012218052
0.39,0.730672268907563,0.718001651527663,0.743798118049615,0.8687685535878801,0.9315911403446064,0.2252552466320582,0.14067137547338338,0.2252552466320582
0.4,0.7314795160263213,0.7260851243152128,0.7369546621043627,0.8705087521752483,0.9315911403446064,0.22044370685675035,0.20065210862756877,0.22044370685675035
0.41,0.7322193658954584,0.7334763948497854,0.7309666381522669,0.8720442215170437,0.9315911403446064,0.21609972823740942,0.19451713930241543,0.21609972823740942
0.42,0.7335640138408305,0.7419072615923009,0.7254063301967494,0.8738867847271983,0.9315911403446064,0.21068469909049617,0.1883821699772621,0.21068469909049617
0.43,0.7347027972027972,0.7511170688114388,0.7189905902480753,0.8757293479373528,0.9315911403446064,0.2064858450728016,0.18224720065210864,0.2064858450728016
0.44,0.7343612334801762,0.757039055404178,0.7130025662959795,0.8765482649196438,0.9315911403446064,0.20276374859708193,0.1756403106096358,0.20276374859708193
