t,f1,precision,recall,accuracy,auc,dp_diff_max
0.05,0.6010213434594737,0.43310058501604076,0.9816082121471343,0.6880949943699457,0.9321370523846476,0.7142158316359992
0.06,0.6158199703543997,0.4495376746016132,0.9773310521813516,0.7081584604360733,0.9321370523846476,0.6922675354078884
0.07,0.625,0.46082013804303695,0.9709153122326775,0.7211587675299417,0.9321370523846476,0.6740994520058977
0.08,0.6360304482661404,0.47434819175777965,0.9649272882805817,0.7356945439656055,0.9321370523846476,0.6559837103149968
0.09,0.6448732718894009,0.4861050803300043,0.957656116338751,0.7475688402088239,0.9321370523846476,0.6422241370455544
0.1,0.6531030444964872,0.4964396973742768,0.9542343883661248,0.7573958439963149,0.9321370523846476,0.6300405215359577
0.11,0.6599226420708123,0.5059306569343066,0.9486740804106074,0.7659944723103695,0.9321370523846476,0.6197941396567368
0.12,0.6652555185969157,0.5144995322731525,0.9409751924721984,0.7733647251509879,0.9321370523846476,0.611364566117715
0.13,0.671373752877974,0.5235815178357673,0.935414884516681,0.7808373426143924,0.9321370523846476,0.6019873321252762
0.14,0.6761045426260112,0.5312958435207824,0.9294268605645851,0.786876855358788,0.9321370523846476,0.5900969089071227
0.15,0.6812006319115324,0.5400801603206413,0.9221556886227545,0.7934281912171154,0.9321370523846476,0.5823218035300745
0.16,0.6855951235162014,0.5485112936344969,0.9140290846877673,0.7993653393387246,0.9321370523846476,0.574667123443203
0.17,0.6892397851212763,0.5563731931668857,0.9054747647562019,0.8045859351008292,0.9321370523846476,0.5623892534989745
0.18,0.6929419525065963,0.5638754696725711,0.8986313088109495,0.8093970723717883,0.9321370523846476,0.5539596799599527
0.19,0.6985294117647058,0.5732309380142622,0.8939264328485885,0.8153342204933974,0.9321370523846476,0.5454358519862991
0.2,0.7020808661816952,0.5807444724321299,0.8875106928999145,0.8197358992732112,0.9321370523846476,0.5408807457080289
0.21,0.707760989010989,0.5912220309810671,0.8815226689478186,0.8257754120176067,0.9321370523846476,0.5318228748625784
0.22,0.7107783388472924,0.5994126284875183,0.8729683490162532,0.8299723615518477,0.9321370523846476,0.5230320254530264
0.23,0.7122517138337142,0.6045956430916144,0.8665526090675791,0.8324291124987204,0.9321370523846476,0.5179690471585043
0.24,0.7133214920071048,0.6099635479951397,0.8588537211291702,0.8347834988228069,0.9321370523846476,0.5099530912011027
0.25,0.7151819322459222,0.6155507559395248,0.8532934131736527,0.8373426143924659,0.9321370523846476,0.5059320277946292
0.26,0.7178649237472767,0.6236593059936909,0.8455945252352438,0.8409253761899887,0.9321370523846476,0.4991988373056298
0.27,0.7201176903273262,0.6316129032258064,0.8374679213002566,0.8442010441191524,0.9321370523846476,0.49130330663840477
0.28,0.7224702380952381,0.6392363396971692,0.8306244653550042,0.8472719828027434,0.9321370523846476,0.48483713758530367
0.29,0.7262128619781872,0.647986577181208,0.8259195893926433,0.8509571092230526,0.9321370523846476,0.4759258628855749
0.3,0.7276176024279211,0.6537150647580096,0.8203592814371258,0.8530044016787798,0.9321370523846476,0.46933926854229713
0.31,0.7272727272727273,0.6592489568845619,0.8109495295124037,0.8544375063977889,0.9321370523846476,0.4653182051358238
0.32,0.7301648884578079,0.6680866169684061,0.804961505560308,0.8576108097041663,0.9321370523846476,0.4576896959044972
0.33,0.7335694608421881,0.6793002915451894,0.7972626176218991,0.8613983007472618,0.9321370523846476,0.4450243792341935
0.34,0.7335323383084578,0.6858950502419054,0.7882805816937554,0.8629337700890573,0.9321370523846476,0.43867863547126923
0.35,0.7338969404186796,0.6931558935361217,0.77972626176219,0.8646739686764254,0.9321370523846476,0.429500339335642
